
2024/10/26 (14:57:35) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:58:13) | ===> btop++ v.1.2.13
2024/10/26 (14:58:13) | INFO: Logger set to DEBUG
2024/10/26 (14:58:13) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:58:13) | INFO: Running on /dev/pts/0
2024/10/26 (14:58:13) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:58:44) | ===> btop++ v.1.2.13
2024/10/26 (14:58:44) | INFO: Logger set to DEBUG
2024/10/26 (14:58:44) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:58:44) | INFO: Running on /dev/pts/0
2024/10/26 (14:58:44) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:58:59) | ===> btop++ v.1.2.13
2024/10/26 (14:58:59) | INFO: Logger set to DEBUG
2024/10/26 (14:58:59) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:58:59) | INFO: Running on /dev/pts/0
2024/10/26 (14:58:59) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (14:59:42) | ===> btop++ v.1.2.13
2024/10/26 (14:59:42) | INFO: Logger set to DEBUG
2024/10/26 (14:59:42) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (14:59:42) | INFO: Running on /dev/pts/0
2024/10/26 (14:59:42) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (15:00:49) | ===> btop++ v.1.2.13
2024/10/26 (15:00:49) | INFO: Logger set to DEBUG
2024/10/26 (15:00:49) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (15:00:49) | INFO: Running on /dev/pts/0
2024/10/26 (15:00:49) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/26 (15:01:41) | ===> btop++ v.1.2.13
2024/10/26 (15:01:41) | INFO: Logger set to DEBUG
2024/10/26 (15:01:41) | DEBUG: Using locale en_US.UTF-8
2024/10/26 (15:01:41) | INFO: Running on /dev/pts/0
2024/10/26 (15:01:41) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/27 (13:16:55) | ===> btop++ v.1.2.13
2024/10/27 (13:16:55) | INFO: Logger set to DEBUG
2024/10/27 (13:16:55) | DEBUG: Using locale en_US.UTF-8
2024/10/27 (13:16:55) | INFO: Running on /dev/pts/1
2024/10/27 (13:16:55) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/28 (13:07:42) | ===> btop++ v.1.2.13
2024/10/28 (13:07:42) | INFO: Logger set to DEBUG
2024/10/28 (13:07:42) | DEBUG: Using locale en_US.UTF-8
2024/10/28 (13:07:42) | INFO: Running on /dev/pts/4
2024/10/28 (13:07:42) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/28 (13:16:38) | ===> btop++ v.1.2.13
2024/10/28 (13:16:38) | INFO: Logger set to DEBUG
2024/10/28 (13:16:38) | DEBUG: Using locale en_US.UTF-8
2024/10/28 (13:16:38) | INFO: Running on /dev/pts/1
2024/10/28 (13:16:38) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

2024/10/28 (13:16:38) | ===> btop++ v.1.2.13
2024/10/28 (13:16:38) | INFO: Logger set to DEBUG
2024/10/28 (13:16:38) | DEBUG: Using locale en_US.UTF-8
2024/10/28 (13:16:38) | INFO: Running on /dev/pts/2
2024/10/28 (13:16:38) | DEBUG: Loading theme file: /home/l3manuel/.config/btop/themes/3manuel.theme

